time	high_ci_0.05	low_ci_0.05	mean
1e-10	0.0	0.0	0.0
3.03	0.647213595499958	-0.24721359549995803	0.2
3.08	0.9477225575051661	-0.14772255750516616	0.4
3.11	1.247213595499958	0.3527864045000421	0.8
3.12	1.0	1.0	1.0
3.13	1.947722557505166	0.852277442494834	1.4
3.14	2.494427190999916	0.7055728090000842	1.6
3.15	2.6366600265340754	0.9633399734659244	1.8000000000000003
3.16	3.2954451150103323	1.104554884989668	2.2
3.18	4.732050807568877	1.2679491924311228	3.0
3.19	4.91657508881031	1.88342491118969	3.4000000000000004
3.21	5.50384048104053	2.8961595189594704	4.2
3.22	6.116575088810309	3.08342491118969	4.6
3.23	6.10384048104053	3.49615951895947	4.8
3.24	6.224744871391589	3.775255128608411	5.0
3.25	6.683239697419133	3.7167603025808673	5.2
3.27	7.273320053068151	3.9266799469318485	5.6
3.29	8.349358868961794	4.450641131038208	6.4
3.3	8.416590212458495	4.783409787541505	6.6000000000000005
3.33	8.87082869338697	5.12917130661303	7.000000000000001
3.35	9.123538406167135	5.276461593832866	7.200000000000001
3.39	9.673644135332772	5.526355864667227	7.6
3.4	10.23606797749979	5.76393202250021	8.0
3.41	9.98885438199983	6.411145618000168	8.2
3.44	10.349358868961794	6.450641131038208	8.4
3.49	10.11657508881031	7.08342491118969	8.6
3.54	9.895445115010332	7.704554884989669	8.8
3.55	9.707106781186548	8.292893218813452	9.0
3.56	10.540175425099138	8.259824574900863	9.4
3.6	10.740175425099137	8.459824574900862	9.6
3.62	10.636660026534077	8.963339973465924	9.8
3.64	11.503840481040529	8.89615951895947	10.2
3.69	11.91657508881031	8.88342491118969	10.4
3.72	11.941640786499873	9.258359213500126	10.6
3.78	12.10384048104053	9.496159518959471	10.8
3.8	12.0	10.0	11.0
3.82	12.036660026534076	10.363339973465923	11.2
4.02	12.294427190999917	10.505572809000084	11.4
4.05	12.147722557505165	11.052277442494834	11.6
4.06	12.636660026534077	10.963339973465924	11.8
4.37	12.707106781186548	11.292893218813452	12.0
4.38	13.036660026534076	11.363339973465923	12.2
4.48	12.947722557505168	11.852277442494835	12.4
4.61	13.147722557505165	12.052277442494834	12.6
4.78	13.247213595499959	12.352786404500042	12.8
5.13	13.707106781186548	12.292893218813452	13.0
5.15	13.647213595499958	12.752786404500041	13.200000000000001
5.45	13.947722557505166	12.852277442494833	13.4
5.73	14.147722557505165	13.052277442494834	13.600000000000001
6.79	14.636660026534077	12.963339973465922	13.8
6.98	15.224744871391591	12.775255128608409	14.000000000000002
7.07	15.295445115010331	13.104554884989666	14.2
7.13	15.540175425099138	13.259824574900863	14.400000000000002
7.19	15.494427190999915	13.705572809000083	14.6
7.47	15.636660026534077	13.963339973465924	14.800000000000002
7.49	15.707106781186548	14.292893218813452	15.0
7.98	15.647213595499956	14.75278640450004	15.2
8.42	15.947722557505168	14.852277442494835	15.4
8.71	16.147722557505165	15.052277442494832	15.6
8.88	16.636660026534077	14.963339973465924	15.8
9.35	16.707106781186546	15.292893218813452	16.0
9.63	17.036660026534076	15.363339973465923	16.2
10.34	17.540175425099136	15.25982457490086	16.4
10.63	18.11657508881031	15.083424911189692	16.6
10.87	18.283239697419134	15.316760302580867	16.8
11.84	18.22474487139159	15.775255128608412	17.0
12.23	18.29544511501033	16.104554884989668	17.2
12.76	18.540175425099136	16.25982457490086	17.4
14.01	18.74017542509914	16.459824574900864	17.6
14.45	18.895445115010332	16.70455488498967	17.8
15.1	19.22474487139159	16.77525512860841	18.0
15.47	19.683239697419133	16.716760302580866	18.2
15.98	19.540175425099136	17.25982457490086	18.4
16.33	20.11657508881031	17.08342491118969	18.6
16.52	20.103840481040532	17.49615951895947	18.8
16.8	20.414213562373096	17.585786437626904	19.0
16.87	20.8431676725155	17.5568323274845	19.2
16.88	20.91657508881031	17.88342491118969	19.4
17.19	21.416590212458495	17.78340978754151	19.6
18.08	21.96794833886788	17.63205166113212	19.8
18.4	22.0	18.0	20.0
18.44	22.123538406167135	18.276461593832863	20.2
18.51	22.34935886896179	18.450641131038207	20.4
18.94	22.416590212458495	18.78340978754151	20.6
19.11	22.723538406167137	18.876461593832865	20.8
19.58	23.0	19.0	21.0
19.86	23.480350850198274	18.919649149801725	21.2
19.94	23.80831891575846	18.991681084241538	21.4
20.12	24.20768096208106	18.992319037918943	21.6
20.21	24.66356421265527	18.93643578734473	21.8
20.54	24.549509756796393	19.450490243203607	22.0
20.65	25.06356421265527	19.33643578734473	22.2
21.16	25.007680962081057	19.79231903791894	22.4
21.19	25.00831891575846	20.19168108424154	22.6
21.22	24.96794833886788	20.63205166113212	22.8
22.35	25.34520787991171	20.654792120088285	23.0
22.96	25.480350850198274	20.919649149801725	23.2
23.52	25.47364413533277	21.326355864667228	23.4
24.09	25.90217288664427	21.297827113355734	23.6
25.22	26.388435821108956	21.211564178891045	23.8
25.42	26.54950975679639	21.450490243203607	24.0
25.59	26.587467277262668	21.812532722737334	24.2
25.99	26.47364413533277	22.326355864667228	24.4
26.32	26.902172886644273	22.297827113355734	24.6
26.79	26.96794833886788	22.63205166113212	24.8
27.13	27.121320343559642	22.878679656440358	25.0
27.27	26.988854381999833	23.411145618000166	25.2
27.35	27.21659021245849	23.583409787541505	25.4
27.7	27.67364413533277	23.52635586466723	25.6
27.89	27.588854381999834	24.011145618000167	25.8
28.22	27.870828693386972	24.129171306613028	26.0
28.8	27.843167672515502	24.5568323274845	26.200000000000003
29.14	27.74164078649987	25.058359213500125	26.400000000000002
29.19	28.116575088810315	25.083424911189688	26.6
30.02	28.103840481040532	25.496159518959473	26.8
30.3	28.000000000000004	26.0	27.0
30.55	28.036660026534076	26.363339973465923	27.200000000000003
31.16	28.294427190999915	26.505572809000082	27.399999999999995
31.82	28.494427190999915	26.705572809000085	27.6
32.0	28.895445115010332	26.70455488498967	27.800000000000004
32.6	29.22474487139159	26.77525512860841	28.000000000000004
32.76	29.683239697419133	26.716760302580866	28.199999999999996
33.01	29.540175425099136	27.25982457490086	28.4
33.61	29.740175425099142	27.459824574900864	28.6
33.8	29.895445115010332	27.70455488498967	28.800000000000004
33.97	30.22474487139159	27.77525512860841	28.999999999999996
34.24	30.503840481040527	27.896159518959468	29.2
34.68	30.916575088810312	27.883424911189692	29.4
35.17	31.273320053068154	27.92667994693185	29.600000000000005
36.56	31.58885438199983	28.011145618000167	29.799999999999997
36.93	31.73205080756888	28.267949192431118	30.0
37.17	31.988854381999833	28.411145618000166	30.2
37.74	31.741640786499868	29.058359213500122	30.4
37.89	32.116575088810315	29.08342491118969	30.599999999999998
38.19	32.4431676725155	29.1568323274845	30.8
40.47	32.732050807568875	29.267949192431118	31.0
40.53	33.123538406167135	29.276461593832863	31.2
40.91	33.349358868961794	29.450641131038207	31.4
41.93	33.790890230020665	29.409109769979334	31.6
42.48	34.28997991959775	29.310020080402253	31.8
43.09	34.54950975679639	29.45049024320361	32.0
43.4	34.78843582110896	29.611564178891047	32.2
44.17	35.28097205817758	29.51902794182241	32.4
44.61	35.56647939483827	29.633520605161735	32.6
45.47	35.83315017762062	29.766849822379378	32.8
45.8	36.3166247903554	29.683375209644602	33.0
45.82	36.14957624075053	30.25042375924948	33.2
45.94	36.44959013639538	30.350409863604614	33.4
46.15	36.809361307176246	30.390638692823764	33.6
47.12	36.66356421265527	30.936435787344728	33.8
48.27	36.73861278752583	31.26138721247417	34.0
48.5	36.58746727726267	31.812532722737334	34.2
48.98	36.47364413533277	32.32635586466723	34.4
49.1	37.00831891575846	32.191681084241544	34.6
50.96	37.388435821108956	32.21156417889104	34.8
51.52	37.82842712474619	32.17157287525381	35.0
53.0	38.31448230047949	32.085517699520516	35.2
54.44	38.83511280746353	31.964887192536466	35.4
54.49	39.246916505762094	31.95308349423791	35.6
54.68	39.36370593624109	32.236294063758905	35.8
54.77	39.31448230047949	33.085517699520516	36.2
56.54	39.76154726279432	33.038452737205674	36.4
57.75	40.246916505762094	32.95308349423791	36.6
58.01	40.36370593624109	33.236294063758905	36.8
59.02	40.53553390593274	33.46446609406726	37.0
60.42	40.763705936241095	33.63629406375891	37.2
61.44	41.1815340802378	33.618465919762194	37.4
62.32	41.447076812334274	33.75292318766573	37.6
64.94	41.76232255123179	33.837677448768204	37.8
65.03	41.674234614174765	34.325765385825235	38.0
65.09	41.620526275297415	34.77947372470259	38.2
68.03	41.530495168499705	35.26950483150029	38.4
72.26	41.480972058177585	35.71902794182242	38.6
