length	time	method
12	2.9	Meta-LEARNA-Adapt
16	2.91	Meta-LEARNA-Adapt
17	4.79	Meta-LEARNA-Adapt
26	2.51	Meta-LEARNA-Adapt
30	3.66	Meta-LEARNA-Adapt
31	2.64	Meta-LEARNA-Adapt
34	5500.0	Meta-LEARNA-Adapt
35	8.82	Meta-LEARNA-Adapt
36	5500.0	Meta-LEARNA-Adapt
36	2.93	Meta-LEARNA-Adapt
36	2.82	Meta-LEARNA-Adapt
36	6515.7165665103985	Meta-LEARNA-Adapt
38	2.72	Meta-LEARNA-Adapt
40	5500.0	Meta-LEARNA-Adapt
42	2.82	Meta-LEARNA-Adapt
45	9.36	Meta-LEARNA-Adapt
45	2.91	Meta-LEARNA-Adapt
50	2.86	Meta-LEARNA-Adapt
53	1823.62	Meta-LEARNA-Adapt
57	3.06	Meta-LEARNA-Adapt
61	5500.0	Meta-LEARNA-Adapt
62	2.99	Meta-LEARNA-Adapt
63	2.96	Meta-LEARNA-Adapt
63	2.94	Meta-LEARNA-Adapt
67	2.69	Meta-LEARNA-Adapt
67	2.82	Meta-LEARNA-Adapt
67	5500.0	Meta-LEARNA-Adapt
68	986.95	Meta-LEARNA-Adapt
73	5500.0	Meta-LEARNA-Adapt
75	6.74	Meta-LEARNA-Adapt
80	5500.0	Meta-LEARNA-Adapt
82	5.45	Meta-LEARNA-Adapt
85	3.65	Meta-LEARNA-Adapt
88	5500.0	Meta-LEARNA-Adapt
92	2.94	Meta-LEARNA-Adapt
96	2.7	Meta-LEARNA-Adapt
97	5500.0	Meta-LEARNA-Adapt
97	6515.7165665103985	Meta-LEARNA-Adapt
97	3.19	Meta-LEARNA-Adapt
98	3.06	Meta-LEARNA-Adapt
100	5500.0	Meta-LEARNA-Adapt
101	4.82	Meta-LEARNA-Adapt
101	5500.0	Meta-LEARNA-Adapt
101	2.94	Meta-LEARNA-Adapt
102	3.39	Meta-LEARNA-Adapt
102	3.31	Meta-LEARNA-Adapt
102	3.31	Meta-LEARNA-Adapt
103	5.03	Meta-LEARNA-Adapt
104	4.42	Meta-LEARNA-Adapt
104	2.86	Meta-LEARNA-Adapt
104	7.26	Meta-LEARNA-Adapt
105	1994.48	Meta-LEARNA-Adapt
105	6515.7165665103985	Meta-LEARNA-Adapt
105	5500.0	Meta-LEARNA-Adapt
105	3.19	Meta-LEARNA-Adapt
105	3.53	Meta-LEARNA-Adapt
105	13.69	Meta-LEARNA-Adapt
105	3.24	Meta-LEARNA-Adapt
110	5500.0	Meta-LEARNA-Adapt
111	3.27	Meta-LEARNA-Adapt
116	2.9	Meta-LEARNA-Adapt
116	3.17	Meta-LEARNA-Adapt
116	2.99	Meta-LEARNA-Adapt
119	5500.0	Meta-LEARNA-Adapt
122	2.99	Meta-LEARNA-Adapt
123	753.41	Meta-LEARNA-Adapt
151	3.1	Meta-LEARNA-Adapt
174	2.82	Meta-LEARNA-Adapt
184	7.55	Meta-LEARNA-Adapt
192	3.82	Meta-LEARNA-Adapt
200	27.97	Meta-LEARNA-Adapt
202	64273.84	Meta-LEARNA-Adapt
212	5500.0	Meta-LEARNA-Adapt
213	3.18	Meta-LEARNA-Adapt
214	56.64	Meta-LEARNA-Adapt
258	214.07	Meta-LEARNA-Adapt
282	5500.0	Meta-LEARNA-Adapt
284	4.33	Meta-LEARNA-Adapt
284	5500.0	Meta-LEARNA-Adapt
316	12.48	Meta-LEARNA-Adapt
337	22.75	Meta-LEARNA-Adapt
355	5500.0	Meta-LEARNA-Adapt
358	5500.0	Meta-LEARNA-Adapt
364	5500.0	Meta-LEARNA-Adapt
370	5500.0	Meta-LEARNA-Adapt
378	4.18	Meta-LEARNA-Adapt
379	5.44	Meta-LEARNA-Adapt
380	6677.02	Meta-LEARNA-Adapt
382	5500.0	Meta-LEARNA-Adapt
387	3.65	Meta-LEARNA-Adapt
389	5500.0	Meta-LEARNA-Adapt
389	6515.7165665103985	Meta-LEARNA-Adapt
392	5500.0	Meta-LEARNA-Adapt
393	5500.0	Meta-LEARNA-Adapt
397	5500.0	Meta-LEARNA-Adapt
400	5500.0	Meta-LEARNA-Adapt
400	3.31	Meta-LEARNA-Adapt
400	6515.7165665103985	Meta-LEARNA-Adapt
400	5.36	Meta-LEARNA-Adapt
400	3.29	Meta-LEARNA-Adapt
