length	time	method
12	2.92	Meta-LEARNA
16	2.78	Meta-LEARNA
17	3.77	Meta-LEARNA
26	2.75	Meta-LEARNA
30	3.8	Meta-LEARNA
31	2.97	Meta-LEARNA
34	5500.0	Meta-LEARNA
35	10.27	Meta-LEARNA
36	5500.0	Meta-LEARNA
36	2.68	Meta-LEARNA
36	2.88	Meta-LEARNA
36	2022.15	Meta-LEARNA
38	2.93	Meta-LEARNA
40	5500.0	Meta-LEARNA
42	2.92	Meta-LEARNA
45	7.55	Meta-LEARNA
45	2.91	Meta-LEARNA
50	2.97	Meta-LEARNA
53	30.1	Meta-LEARNA
57	2.98	Meta-LEARNA
61	5500.0	Meta-LEARNA
62	3.01	Meta-LEARNA
63	2.84	Meta-LEARNA
63	2.87	Meta-LEARNA
67	2.88	Meta-LEARNA
67	2.9	Meta-LEARNA
67	5500.0	Meta-LEARNA
68	28.43	Meta-LEARNA
73	5500.0	Meta-LEARNA
75	4.29	Meta-LEARNA
80	5500.0	Meta-LEARNA
82	3.86	Meta-LEARNA
85	3.02	Meta-LEARNA
88	5500.0	Meta-LEARNA
92	2.91	Meta-LEARNA
96	3.02	Meta-LEARNA
97	5500.0	Meta-LEARNA
97	6515.7165665103985	Meta-LEARNA
97	2.77	Meta-LEARNA
98	3.05	Meta-LEARNA
100	5500.0	Meta-LEARNA
101	3.53	Meta-LEARNA
101	5500.0	Meta-LEARNA
101	3.05	Meta-LEARNA
102	3.25	Meta-LEARNA
102	3.33	Meta-LEARNA
102	2.85	Meta-LEARNA
103	8.95	Meta-LEARNA
104	3.51	Meta-LEARNA
104	3.06	Meta-LEARNA
104	5.51	Meta-LEARNA
105	2001.32	Meta-LEARNA
105	6515.7165665103985	Meta-LEARNA
105	5500.0	Meta-LEARNA
105	3.83	Meta-LEARNA
105	2.89	Meta-LEARNA
105	10.05	Meta-LEARNA
105	3.28	Meta-LEARNA
110	5500.0	Meta-LEARNA
111	3.19	Meta-LEARNA
116	3.26	Meta-LEARNA
116	3.34	Meta-LEARNA
116	2.86	Meta-LEARNA
119	5500.0	Meta-LEARNA
122	2.92	Meta-LEARNA
123	280.12	Meta-LEARNA
151	3.15	Meta-LEARNA
174	3.03	Meta-LEARNA
184	5.03	Meta-LEARNA
192	3.42	Meta-LEARNA
200	22.8	Meta-LEARNA
202	34521.18	Meta-LEARNA
212	5500.0	Meta-LEARNA
213	3.06	Meta-LEARNA
214	1249.06	Meta-LEARNA
258	65.2	Meta-LEARNA
282	5500.0	Meta-LEARNA
284	3.86	Meta-LEARNA
284	5500.0	Meta-LEARNA
316	6.41	Meta-LEARNA
337	11.54	Meta-LEARNA
355	5500.0	Meta-LEARNA
358	5500.0	Meta-LEARNA
364	5500.0	Meta-LEARNA
370	5500.0	Meta-LEARNA
378	4.88	Meta-LEARNA
379	4.52	Meta-LEARNA
380	5500.0	Meta-LEARNA
382	5500.0	Meta-LEARNA
387	5.2	Meta-LEARNA
389	5500.0	Meta-LEARNA
389	6515.7165665103985	Meta-LEARNA
392	5500.0	Meta-LEARNA
393	5500.0	Meta-LEARNA
397	5500.0	Meta-LEARNA
400	5500.0	Meta-LEARNA
400	3.13	Meta-LEARNA
400	6515.7165665103985	Meta-LEARNA
400	5.65	Meta-LEARNA
400	3.18	Meta-LEARNA
