length	time	method
54	2.77	Meta-LEARNA-Adapt
73	2.87	Meta-LEARNA-Adapt
74	2.86	Meta-LEARNA-Adapt
79	2.82	Meta-LEARNA-Adapt
83	2.84	Meta-LEARNA-Adapt
87	2.87	Meta-LEARNA-Adapt
89	2.81	Meta-LEARNA-Adapt
102	2.9	Meta-LEARNA-Adapt
117	3.1	Meta-LEARNA-Adapt
118	2.88	Meta-LEARNA-Adapt
119	5500.0	Meta-LEARNA-Adapt
129	5500.0	Meta-LEARNA-Adapt
140	2.94	Meta-LEARNA-Adapt
148	2.93	Meta-LEARNA-Adapt
151	3.27	Meta-LEARNA-Adapt
154	2.89	Meta-LEARNA-Adapt
161	3.18	Meta-LEARNA-Adapt
185	3.06	Meta-LEARNA-Adapt
193	2.92	Meta-LEARNA-Adapt
210	2.86	Meta-LEARNA-Adapt
215	3.08	Meta-LEARNA-Adapt
301	3.47	Meta-LEARNA-Adapt
340	3.24	Meta-LEARNA-Adapt
344	4.47	Meta-LEARNA-Adapt
348	3.3	Meta-LEARNA-Adapt
357	5500.0	Meta-LEARNA-Adapt
360	86.97	Meta-LEARNA-Adapt
382	5500.0	Meta-LEARNA-Adapt
451	5500.0	Meta-LEARNA-Adapt
